version,point_estimate,ci_low,ci_high,n_pairs,n_clusters,ci_width
old_naive_5seeds_10days,-4.796558766856009,-12.261063648971291,0.0,10,5,12.261063648971291
new_cluster_50seeds_2days,-14.224736566656393,-19.254821354450478,-9.619439943327837,100,50,9.63538141112264
