horizon,seed,eval_day,tracking_error,total_energy_charged,total_transformer_overload,average_user_satisfaction,runtime_s
5,0,2022-01-17,8704.46501832772,213.66577070802603,0.0,1.0,1.7364091999916127
5,0,2022-03-05,14014.614798241071,200.92481704874274,0.0,1.0,1.6731721999967704
5,1,2022-01-17,11550.059179241864,203.54403712232923,0.0,1.0,1.45123859999876
5,1,2022-03-05,11693.354212451348,212.86487772407133,0.0,1.0,1.4972126000066055
5,2,2022-01-17,4806.751486323558,154.5024397201788,0.0,1.0,1.4532605999993393
5,2,2022-03-05,13028.707433726759,230.25924146022047,0.0,1.0,1.621644600003492
5,3,2022-01-17,8750.965401966543,201.63993103252687,0.0,1.0,1.579867699998431
5,3,2022-03-05,9600.04497896042,194.7926622669745,0.0,1.0,1.5128151000099024
5,4,2022-01-17,7284.245022880124,182.48843467731479,0.0,1.0,1.7517247999930987
5,4,2022-03-05,7621.128657957666,175.72246006144076,0.0,1.0,1.430839599997853
5,5,2022-01-17,9030.6189118673,180.33958296998708,0.0,1.0,1.5945509999874048
5,5,2022-03-05,6899.666216064612,132.20947108101765,0.0,1.0,1.629782999996678
5,6,2022-01-17,5019.83308008318,137.45070097456644,0.0,1.0,1.423772199996165
5,6,2022-03-05,4926.706694774639,149.28522363523902,0.0,1.0,1.478261600001133
5,7,2022-01-17,12095.956792428686,243.59709671239767,0.0,1.0,1.4145202000072459
5,7,2022-03-05,11660.663503648348,238.47032565847766,0.0,1.0,1.5462219000037294
5,8,2022-01-17,27924.190341381647,296.1107909811881,0.0,1.0,1.5090142999979435
5,8,2022-03-05,17089.530795714167,252.49866703425573,0.0,1.0,1.626684999995632
5,9,2022-01-17,10152.284923385912,209.45710692008575,0.0,1.0,1.709358299995074
5,9,2022-03-05,10999.368017060047,171.23799613649652,0.0,1.0,1.4671201999881305
10,0,2022-01-17,7134.476911709245,213.3539458234504,0.0,1.0,2.700578999996651
10,0,2022-03-05,10756.356766863348,200.73349353120017,0.0,1.0,2.8794416999880923
10,1,2022-01-17,9140.281599282618,203.3902104125074,0.0,1.0,2.828207799990196
10,1,2022-03-05,9843.470193147035,212.20729783598813,0.0,1.0,3.103806400002213
10,2,2022-01-17,3870.53404175659,154.12692800227182,0.0,1.0,2.7490426000003936
10,2,2022-03-05,9530.322289198111,230.2122434085324,0.0,1.0,2.860766199999489
10,3,2022-01-17,7132.132285216741,201.55495804423336,0.0,1.0,2.846958199996152
10,3,2022-03-05,8410.427034544718,194.60204620119987,0.0,1.0,2.7232698000007076
10,4,2022-01-17,5634.265138116236,182.38538019759045,0.0,1.0,2.750225899988436
10,4,2022-03-05,6093.149737770153,175.73992727749732,0.0,1.0,2.7248919999983627
10,5,2022-01-17,7049.354179421619,180.28936374313514,0.0,1.0,2.8316110000014305
10,5,2022-03-05,5123.523441971168,132.0470158570354,0.0,1.0,2.8027417000121204
10,6,2022-01-17,4044.4075232643245,137.28367849112968,0.0,1.0,3.016549699997995
10,6,2022-03-05,3626.374758678228,149.28240235759864,0.0,1.0,2.875503100003698
10,7,2022-01-17,8851.29921951211,243.54138496487178,0.0,1.0,2.897994800005108
10,7,2022-03-05,9440.53624938063,238.35528325413904,0.0,1.0,2.757364699995378
10,8,2022-01-17,22443.551366498385,295.7397617140583,0.0,1.0,2.9134447000105865
10,8,2022-03-05,13543.059651213922,252.4359334746933,0.0,1.0,3.067552699998487
10,9,2022-01-17,8592.087901981231,209.1027499229669,0.0,1.0,2.8509941000083927
10,9,2022-03-05,8287.489569779604,171.18034256765296,0.0,1.0,2.6678066000022227
20,0,2022-01-17,5724.87211837268,213.19783656560156,0.0,1.0,5.465045999997528
20,0,2022-03-05,8028.004197240712,200.6957615817952,0.0,1.0,5.472849699988728
20,1,2022-01-17,6398.8295918727645,203.28353859009667,0.0,1.0,5.539517599987448
20,1,2022-03-05,7992.425240536419,212.1949842788967,0.0,1.0,5.865265199987334
20,2,2022-01-17,3258.1394079501947,154.0877072572852,0.0,1.0,5.96838679999928
20,2,2022-03-05,7650.950689094398,229.77848417515526,0.0,1.0,6.075410000004922
20,3,2022-01-17,5837.4452740655715,201.29537924030456,0.0,1.0,5.619916900002863
20,3,2022-03-05,6450.26198175822,194.7240019231494,0.0,1.0,5.605744200001936
20,4,2022-01-17,4612.912705637597,182.3077178880306,0.0,1.0,6.092560600009165
20,4,2022-03-05,4613.622104932611,175.67311624999644,0.0,1.0,5.571718000006513
20,5,2022-01-17,5574.1460810835615,179.97772722554714,0.0,1.0,5.5657741999893915
20,5,2022-03-05,3566.2571374092895,132.08322919539455,0.0,1.0,5.530773599995882
20,6,2022-01-17,3107.1455332251794,137.28992171955315,0.0,1.0,5.553564899993944
20,6,2022-03-05,2899.2138267360724,149.30004882692612,0.0,1.0,5.729042200007825
20,7,2022-01-17,6969.994319923299,243.5042134166282,0.0,1.0,5.974846000011894
20,7,2022-03-05,7333.457239165346,238.3829234445509,0.0,1.0,5.499648500001058
20,8,2022-01-17,18490.79362912476,295.8800206160912,0.0,1.0,5.568899100006092
20,8,2022-03-05,11000.464754868475,252.26289170200056,0.0,1.0,5.523178899995401
20,9,2022-01-17,7086.260120579268,208.7602626455198,0.0,1.0,5.549044300001697
20,9,2022-03-05,6857.763269109949,171.04919015946544,0.0,1.0,5.47650090001116
