run_id,config_name,algorithm,seed,eval_day,ambient_scenario,n_evs_with_session,sum_d_cal,sum_d_cal_point_estimate,jensen_gap_pct,sum_d_cyc_unchanged
station_v0_bogota__ChargeAsFastAsPossible__seed1__2022-07-10,station_v0_bogota,ChargeAsFastAsPossible,1,2022-07-10,default,15,0.0002431443538312869,0.0002431443538312869,0.0,0.0002638309770172879
station_v0_bogota__ChargeAsFastAsPossible__seed1__2022-07-10,station_v0_bogota,ChargeAsFastAsPossible,1,2022-07-10,bogota_outdoor,15,0.0001177183626858405,0.00011623315698734365,1.2616601731545196,0.0002540020703659485
station_v0_bogota__ChargeAsFastAsPossible__seed1__2022-07-10,station_v0_bogota,ChargeAsFastAsPossible,1,2022-07-10,bogota_outdoor_plus5,15,0.00013187822040969867,0.00012814753670016858,2.8288853898241775,0.00024326010655144998
station_v0_bogota__ChargeAsFastAsPossible__seed1__2022-07-10,station_v0_bogota,ChargeAsFastAsPossible,1,2022-07-10,bogota_underground,15,9.914356425088067e-05,9.911797349738356e-05,0.02581181510921131,0.0002334988397913827
station_v0_bogota__ChargeAsFastAsPossible__seed1__2022-08-24,station_v0_bogota,ChargeAsFastAsPossible,1,2022-08-24,default,14,0.0002297979496466879,0.0002297979496466879,0.0,0.0002549304597613978
station_v0_bogota__ChargeAsFastAsPossible__seed1__2022-08-24,station_v0_bogota,ChargeAsFastAsPossible,1,2022-08-24,bogota_outdoor,14,0.00011045816549521274,0.00010886436558516844,1.4428991309957748,0.0002455662347851676
station_v0_bogota__ChargeAsFastAsPossible__seed1__2022-08-24,station_v0_bogota,ChargeAsFastAsPossible,1,2022-08-24,bogota_outdoor_plus5,14,0.00012414061000696536,0.00012018011810248831,3.1903274071674335,0.00023521853987212526
station_v0_bogota__ChargeAsFastAsPossible__seed1__2022-08-24,station_v0_bogota,ChargeAsFastAsPossible,1,2022-08-24,bogota_underground,14,9.364389713151058e-05,9.361662538653105e-05,0.029122821470402734,0.00022577190438320642
station_v0_bogota__ChargeAsFastAsPossible__seed1__2022-09-17,station_v0_bogota,ChargeAsFastAsPossible,1,2022-09-17,default,15,0.0002431443538312869,0.0002431443538312869,0.0,0.0002638309770172879
station_v0_bogota__ChargeAsFastAsPossible__seed1__2022-09-17,station_v0_bogota,ChargeAsFastAsPossible,1,2022-09-17,bogota_outdoor,15,0.0001177183626858405,0.00011623315698734365,1.2616601731545196,0.0002540020703659485
station_v0_bogota__ChargeAsFastAsPossible__seed1__2022-09-17,station_v0_bogota,ChargeAsFastAsPossible,1,2022-09-17,bogota_outdoor_plus5,15,0.00013187822040969867,0.00012814753670016858,2.8288853898241775,0.00024326010655144998
station_v0_bogota__ChargeAsFastAsPossible__seed1__2022-09-17,station_v0_bogota,ChargeAsFastAsPossible,1,2022-09-17,bogota_underground,15,9.914356425088067e-05,9.911797349738356e-05,0.02581181510921131,0.0002334988397913827
