td3_algorithm,baseline_algorithm,metric,point_estimate,ci_low,ci_high,unit,n_cells
TD3_TrackingOnly_ts102,ChargeAsFastAsPossible,min_energy_user_satisfaction,-17.182285714285715,-22.493607142857144,-12.399078571428573,pct_diff,50
TD3_TrackingOnly_ts102,ChargeAsFastAsPossible,total_transformer_overload,-3.1453659109703858,-7.210161273664551,0.6518668051754649,abs_diff,50
TD3_TrackingOnly_ts102,ChargeAsFastAsPossible,tracking_error,-35.62351948222566,-40.02981084880681,-30.966507667616128,pct_diff,50
TD3_TrackingOnly_ts102,ChargeAsFastAsPossible,energy_tracking_error,-19.86378738736728,-21.96883653795027,-17.72039837776975,pct_diff,50
TD3_TrackingOnly_ts102,ChargeAsFastAsPossible,battery_degradation,-13.373620652514461,-15.490431824424354,-11.403167886663303,pct_diff,50
TD3_TrackingOnly_ts102,RoundRobin,total_ev_served,0.0,0.0,0.0,pct_diff,50
TD3_TrackingOnly_ts102,RoundRobin,total_profits,-7.141110641239629,-12.035753344023563,-2.710679562117589,pct_diff,50
TD3_TrackingOnly_ts102,RoundRobin,average_user_satisfaction,-1.5086307629028217,-2.0407321791347535,-1.0258011545445371,pct_diff,50
TD3_TrackingOnly_ts102,RoundRobin,energy_user_satisfaction,-1.6244551462126764,-2.2329694270015685,-1.0777118663090783,pct_diff,50
TD3_TrackingOnly_ts102,RoundRobin,min_energy_user_satisfaction,-17.141611301513,-22.43575199364708,-12.36750415865586,pct_diff,50
TD3_TrackingOnly_ts102,RoundRobin,total_transformer_overload,2.1847820789374772,0.8419733068244797,3.8256207802486113,abs_diff,50
TD3_TrackingOnly_ts102,RoundRobin,tracking_error,174.39199758432102,156.7720948684488,193.08096447550017,pct_diff,50
TD3_TrackingOnly_ts102,RoundRobin,energy_tracking_error,118.34927051253395,111.01336738383647,125.9929563251184,pct_diff,50
TD3_TrackingOnly_ts102,RoundRobin,battery_degradation,-8.697956228636551,-11.090383407044325,-6.543466030559481,pct_diff,50
