algorithm,ENS_rel_point_pct,ENS_rel_ci_low_pct,ENS_rel_ci_high_pct,ENS_rel_pass_15pct_ci_upper_bound,ENS_abs_diagnostic_pct,avg_satisfaction_pct,min_satisfaction_pct,satisfaction_gt_90pct,n_seeds
ChargeAsFastAsPossible,0.0,0.0,0.0,True,0.024873778597780002,1.0,100.0,True,50
RoundRobin,0.4729083732851895,0.23765238024616703,0.7540526605765078,True,0.49677444003579324,0.9990921428571429,98.79914285714285,True,50
RandomPolicy,0.045095193190766006,0.041934620796714735,0.04827377032131929,True,0.07000023751512258,1.0,100.0,True,50
Optimal_Oracle_Tracking,0.49780336737091196,0.47445692395634226,0.5197489575791385,True,0.5218208562139999,1.0,100.0,True,50
Optimal_Oracle_Balanced,0.10641754533323183,0.09807159517967459,0.11490365058264,True,0.13163959515858262,1.0,100.0,True,50
MPC_TrackingG2V,0.49449646286509974,0.4706500635725143,0.5168407105253039,True,0.5193139071654649,1.0,100.0,True,50
MPC_EnergyMaxG2V,-0.0025797293532744204,-0.003473427447409437,-0.0017382612184966186,True,0.02232148655412038,1.0,100.0,True,50
TD3_vanilla_ts100,9.977451976768226,7.987839856315356,12.118443415636976,True,9.99958187213763,0.9797995153061224,82.94257142857143,True,50
TD3_vanilla_ts101,9.965286053780694,8.044208260867805,11.989413129394185,True,10.057529361162947,0.9806806798840628,83.26482603443412,True,50
TD3_vanilla_ts102,8.558385250308183,6.821233398478337,10.318006616775405,True,8.697329201877958,0.9834479976801568,83.9439869476589,True,50
TD3_TrackingOnly_ts100,4.764279536728295,3.4210184272786934,6.2328692374879795,True,4.776226330102338,0.9909251913265307,90.22442857142856,True,50
TD3_TrackingOnly_ts101,9.222868422427617,6.920288980752409,11.865862274815505,True,9.362636262816936,0.982955477896629,85.6817820198403,True,50
TD3_TrackingOnly_ts102,6.493088914487082,4.826232310345899,8.25909504464146,True,6.478069165635289,0.9874354922280891,87.04014285714285,True,50
