checkpoint_steps,seed,eval_day,tracking_error,total_transformer_overload,average_user_satisfaction,total_energy_charged
10000,0,2022-01-17,34992.951508385864,0.0,0.9960625000000001,209.61352429064266
10000,0,2022-03-05,35213.925040795504,0.0,1.0,201.08493545166306
10000,1,2022-01-17,32400.97658850246,0.0,1.0,204.16448160612026
10000,1,2022-03-05,28548.61780799276,6.805534135941144,1.0,212.95957646526938
10000,2,2022-01-17,16522.2061271863,0.0,0.9864910714285714,139.6700006926838
10000,2,2022-03-05,22509.626185639183,0.0,0.9946785714285714,224.3918085746707
10000,3,2022-01-17,26779.471855051528,0.0,0.9870089285714285,187.6088735259572
10000,3,2022-03-05,19370.47042613212,0.0,1.0,195.2992543558807
10000,4,2022-01-17,22955.908466087032,0.0,0.9779613095238096,153.96808574686298
10000,4,2022-03-05,21284.319496358818,0.0,0.9996011904761906,175.70811392112674
10000,5,2022-01-17,25800.577033615962,0.0,0.9934464285714286,177.38494866595994
10000,5,2022-03-05,10436.978946595525,0.0,0.9946428571428572,126.52533550337822
10000,6,2022-01-17,21974.982868187188,0.0,1.0,137.9375769578436
10000,6,2022-03-05,15945.69043606297,0.0,0.9914196428571429,140.03596060631662
10000,7,2022-01-17,32735.80493610265,0.0,1.0,243.86468819698803
10000,7,2022-03-05,20739.516591075175,0.0,1.0,238.99326658956105
10000,8,2022-01-17,66387.28945210575,0.0,0.9862857142857143,281.3284763830272
10000,8,2022-03-05,49721.53071467231,0.0,0.9843392857142857,235.51573735520927
10000,9,2022-01-17,21047.514958503292,0.0,0.9641339285714285,176.36146708545022
10000,9,2022-03-05,24864.042139021676,0.0,0.9989553571428571,170.34534906177674
20000,0,2022-01-17,31493.649745284085,0.0,1.0,214.1076092436114
20000,0,2022-03-05,34321.83078756846,0.0,1.0,201.61887381044647
20000,1,2022-01-17,25164.041082518626,0.0,1.0,204.29046438636436
20000,1,2022-03-05,31832.58690978541,0.0,0.9847053571428571,195.90775286030518
20000,2,2022-01-17,19130.393791845043,0.0,0.9990625,153.7518683360696
20000,2,2022-03-05,36831.525275091255,0.0,0.9794553571428571,207.3811244336669
20000,3,2022-01-17,20648.232267493117,0.0,0.9929196428571428,194.2802892088669
20000,3,2022-03-05,31922.96120557486,0.26192568062850796,1.0,195.3568217291023
20000,4,2022-01-17,25067.383534665532,0.0,1.0,183.0734607245341
20000,4,2022-03-05,28482.09503047253,0.0,1.0,176.43336527831096
20000,5,2022-01-17,29108.01688514217,0.0,1.0,181.16195476010742
20000,5,2022-03-05,23547.234709096974,9.86844448697417,1.0,132.72848931505467
20000,6,2022-01-17,13909.647879782398,0.0,1.0,137.845924546748
20000,6,2022-03-05,26111.38074805057,0.0,1.0,149.8271982235931
20000,7,2022-01-17,47333.64154523653,0.0,0.9698214285714286,210.10764567312089
20000,7,2022-03-05,27413.323935162967,0.0,0.9696964285714286,204.68574300478397
20000,8,2022-01-17,58516.74912529578,2.9221236865610933,1.0,296.51022491375613
20000,8,2022-03-05,43397.242500239685,0.0,0.9970982142857143,249.84702153709026
20000,9,2022-01-17,23292.801869141702,0.0,0.9994285714285714,209.18442915980987
20000,9,2022-03-05,27786.165930637977,0.0,0.989,159.18297698024276
30000,0,2022-01-17,31521.893755082725,0.0,1.0,213.93747922683772
30000,0,2022-03-05,34656.64657558654,0.0,1.0,201.36051426050022
30000,1,2022-01-17,25555.717126566444,0.0,0.9830178571428572,184.90197863255514
30000,1,2022-03-05,31100.89155371176,0.0,0.9958750000000001,208.21433536534903
30000,2,2022-01-17,14750.349128731628,0.0,0.9854821428571429,141.18248491153008
30000,2,2022-03-05,33662.5298826682,0.0,0.9815357142857143,209.81589463214107
30000,3,2022-01-17,27417.481634633372,0.0,0.9756071428571429,177.13117034401802
30000,3,2022-03-05,23848.55122262217,0.0,0.9846339285714285,177.84298696670857
30000,4,2022-01-17,25303.30058144965,0.0,0.9931785714285715,179.02592732653196
30000,4,2022-03-05,28254.153877173263,0.0,0.9812767857142857,154.72148911800886
30000,5,2022-01-17,23641.275725537907,0.0,0.9937142857142858,173.75906366174615
30000,5,2022-03-05,9653.280279489047,0.0,1.0,132.5678037701477
30000,6,2022-01-17,20018.447880185282,0.0,1.0,137.92989950077634
30000,6,2022-03-05,27297.822451376836,0.0,1.0,149.86302449474982
30000,7,2022-01-17,51522.544798660856,0.0,0.9593392857142857,198.2114926507257
30000,7,2022-03-05,34566.701509547784,0.0,0.9743035714285715,210.13409023736526
30000,8,2022-01-17,69689.49703183946,6.270686041562811,1.0,296.73581977923266
30000,8,2022-03-05,35333.54565205872,0.0,1.0,253.03286497607098
30000,9,2022-01-17,35495.62649828724,0.6450660905729961,0.9971011904761904,204.8524866308154
30000,9,2022-03-05,26210.145509189406,0.0,0.9884285714285714,158.64424940578613
40000,0,2022-01-17,27989.53204806023,0.0,0.9769821428571428,187.87861644116447
40000,0,2022-03-05,33870.77079245625,0.0,0.9765178571428572,174.6875230553842
40000,1,2022-01-17,26050.169933095436,0.0,0.9702500000000001,170.54528965674027
40000,1,2022-03-05,27794.600573980206,0.0,0.9686785714285715,179.6935448060658
40000,2,2022-01-17,14710.332159569094,0.0,0.9658660714285714,119.6634902440827
40000,2,2022-03-05,38543.53459633202,0.0,0.9973125,227.57674473311403
40000,3,2022-01-17,30192.470157987576,12.207448740280867,1.0,202.1192314690732
40000,3,2022-03-05,25470.763805600192,9.169751318655472,1.0,195.22826423075952
40000,4,2022-01-17,27809.6460926359,0.0,0.9779375,158.0783203636018
40000,4,2022-03-05,22082.87796829913,0.0,0.954125,140.49168485605534
40000,5,2022-01-17,23212.40117987565,0.0,0.9831607142857143,171.26781287054152
40000,5,2022-03-05,21213.772152101377,0.0,0.9787678571428572,114.66367387012703
40000,6,2022-01-17,18904.02384578791,0.0,0.9762678571428571,124.30442064441989
40000,6,2022-03-05,16722.39977988126,0.0,0.9645446428571429,127.25603221230521
40000,7,2022-01-17,31979.6239456894,0.0,0.9769910714285714,218.1414097070489
40000,7,2022-03-05,30734.88192224486,0.0,0.937,167.9515263203622
40000,8,2022-01-17,74962.75923827001,62.839616353737966,0.9711517857142857,264.1990559490001
40000,8,2022-03-05,36408.715417474195,0.0,0.9740446428571429,228.656663592352
40000,9,2022-01-17,26759.960290913074,0.0,0.9941875,203.1322408200623
40000,9,2022-03-05,25266.32893115075,0.0,0.981,150.3107036951322
50000,0,2022-01-17,43418.0692247298,0.0,1.0,213.70334539740026
50000,0,2022-03-05,31245.74958573664,0.0,0.9875982142857143,187.27526292490543
50000,1,2022-01-17,24818.238224035904,0.0,0.9913125,194.12527957322368
50000,1,2022-03-05,33091.76655049082,2.441854029125551,1.0,212.73931720202256
50000,2,2022-01-17,20799.935894998427,0.0,0.9688928571428571,119.81822436069113
50000,2,2022-03-05,52228.262548016595,45.97273475364875,0.9716160714285714,198.80569421899213
50000,3,2022-01-17,34149.785654114174,0.0,1.0,202.52033358384887
50000,3,2022-03-05,34516.22613308144,0.0,0.9897499999999999,183.71825420541484
50000,4,2022-01-17,21935.771446468196,0.0,0.9603928571428572,140.07857614099024
50000,4,2022-03-05,19678.503226888544,0.0,0.9553660714285714,134.06320099278622
50000,5,2022-01-17,29168.9810045281,0.0,0.9671607142857144,144.1562413058511
50000,5,2022-03-05,14540.462891697616,0.0,0.9779196428571428,112.95301710511562
50000,6,2022-01-17,14752.9791687458,0.0,0.9897946428571429,126.29587641673656
50000,6,2022-03-05,16759.270067898473,0.0,0.9418214285714286,102.8222352365802
50000,7,2022-01-17,32284.11808515584,0.0,0.9825982142857144,224.34518771508772
50000,7,2022-03-05,20520.762697675375,0.0,0.9603303571428572,194.06083697185593
50000,8,2022-01-17,86742.5032583266,111.6403738010034,0.9921785714285715,287.7774730608583
50000,8,2022-03-05,43039.69236810456,59.407144866951796,0.9893214285714286,240.93518840896985
50000,9,2022-01-17,25102.193901498424,0.0,1.0,209.87382971859108
50000,9,2022-03-05,24495.813953158955,0.0,0.99825,170.52588594099603
60000,0,2022-01-17,27441.903377721253,0.0,1.0,213.89203375377488
60000,0,2022-03-05,24597.719239422844,0.0,0.9648839285714286,161.73594354441624
60000,1,2022-01-17,23942.75899891921,0.0,0.9402678571428571,136.7832996397259
60000,1,2022-03-05,23444.406459327718,0.0,0.9497767857142858,160.74728281587016
60000,2,2022-01-17,25548.502076739227,0.0,0.9916875,145.1090650671765
60000,2,2022-03-05,42221.86971224601,0.0,0.9738125,201.18051824057451
60000,3,2022-01-17,26185.3274440321,0.0,0.9934375,194.8495708196083
60000,3,2022-03-05,33644.935473871155,0.0,1.0,195.39181919328894
60000,4,2022-01-17,29038.78671025181,0.0,0.9787589285714285,159.20228986638358
60000,4,2022-03-05,21037.128843354898,0.0,0.9482738095238095,140.51737141331805
60000,5,2022-01-17,24805.168546854413,0.0,1.0,180.91613170493946
60000,5,2022-03-05,11830.491790308764,0.0,1.0,132.43861953761564
60000,6,2022-01-17,19103.427369481342,0.0,0.9780892857142858,125.46895658389552
60000,6,2022-03-05,12691.905088646823,0.0,0.9198839285714286,84.29906253939922
60000,7,2022-01-17,52185.38806391502,75.18443593790931,0.9729285714285715,213.3511483432154
60000,7,2022-03-05,46817.12532844311,6.733274813548178,0.9892857142857143,226.6303587187997
60000,8,2022-01-17,67049.32054293386,2.960965484114908,0.9770089285714285,270.6416719004204
60000,8,2022-03-05,39315.26219074761,0.0,1.0,252.7225906750147
60000,9,2022-01-17,33546.86659900902,50.20320912750401,1.0,209.7759970640409
60000,9,2022-03-05,19813.56831807067,0.0,0.9887857142857143,158.8286877725747
