td3_algorithm,baseline_algorithm,metric,point_estimate,ci_low,ci_high,unit,n_cells
TD3_vanilla_ts102,ChargeAsFastAsPossible,total_transformer_overload,-4.368395054273869,-8.099218048510455,-0.9898138609630799,abs_diff,50
TD3_vanilla_ts102,ChargeAsFastAsPossible,tracking_error,-37.86673291932041,-42.29683364262258,-33.27449528200741,pct_diff,50
TD3_vanilla_ts102,ChargeAsFastAsPossible,energy_tracking_error,-21.22918358222489,-23.407497317737285,-18.88032462044843,pct_diff,50
TD3_vanilla_ts102,ChargeAsFastAsPossible,battery_degradation,-10.891273696417874,-11.872400346517916,-9.934248035453841,pct_diff,50
TD3_vanilla_ts102,RoundRobin,total_ev_served,0.0,0.0,0.0,pct_diff,50
TD3_vanilla_ts102,RoundRobin,total_profits,-4.835614942779948,-7.041450935642061,-2.6112517554592634,pct_diff,50
TD3_vanilla_ts102,RoundRobin,average_user_satisfaction,-0.9203050163221987,-1.1791040434239681,-0.671078119532528,pct_diff,50
TD3_vanilla_ts102,RoundRobin,energy_user_satisfaction,-1.2151033688054413,-1.5177418032621672,-0.9068840309784895,pct_diff,50
TD3_vanilla_ts102,RoundRobin,min_energy_user_satisfaction,-14.459348650796516,-17.96444747448954,-10.831459749970586,pct_diff,50
TD3_vanilla_ts102,RoundRobin,total_transformer_overload,0.9617529356339941,0.21334263522811342,1.836724839764314,abs_diff,50
TD3_vanilla_ts102,RoundRobin,tracking_error,164.2571485506099,146.11909089374763,183.86174854573727,pct_diff,50
TD3_vanilla_ts102,RoundRobin,energy_tracking_error,114.18938494657137,107.42681254277784,121.27361228526635,pct_diff,50
TD3_vanilla_ts102,RoundRobin,battery_degradation,-6.128218505386188,-7.176766035683643,-5.129201711391396,pct_diff,50
