pairing,vanilla_seed,metric,point_estimate,ci_low,ci_high,unit,n_cells
pooled,all,total_ev_served,0.0,0.0,0.0,pct_diff,150
pooled,all,total_profits,5.0163009824897,1.6834679821938934,8.392165405988887,pct_diff,150
pooled,all,average_user_satisfaction,0.4086979503269166,0.05117502920478266,0.7831293630501349,pct_diff,150
pooled,all,energy_user_satisfaction,0.4805912205281315,0.059399948381259955,0.9126662364087088,pct_diff,150
pooled,all,min_energy_user_satisfaction,7.585955217708347,3.439490185514918,11.57913173599198,pct_diff,150
pooled,all,total_transformer_overload,1.7490571415608291,0.61305402125084,2.9663990318970686,abs_diff,150
pooled,all,tracking_error,12.953333098923448,8.87508681285685,17.090829627880495,pct_diff,150
pooled,all,energy_tracking_error,5.301761052037348,3.609757701539094,7.062566703716468,pct_diff,150
pooled,all,battery_degradation,2.6459997132544304,0.8399983951783717,4.565300765866322,pct_diff,150
per_train_seed,100,total_ev_served,0.0,0.0,0.0,pct_diff,50
per_train_seed,100,total_profits,12.556634076956524,7.396120652898201,17.891521555959326,pct_diff,50
per_train_seed,100,average_user_satisfaction,1.6706135176256809,1.1050298896395812,2.313536496226323,pct_diff,50
per_train_seed,100,energy_user_satisfaction,1.8253724986077084,1.1747529231322955,2.5602516733363028,pct_diff,50
per_train_seed,100,min_energy_user_satisfaction,23.00173496462397,16.498699305219887,29.517580353093773,pct_diff,50
per_train_seed,100,total_transformer_overload,2.5116095173029356,0.45542958306516124,4.872199350050608,abs_diff,50
per_train_seed,100,tracking_error,27.871360988104634,19.47351313772499,36.44983827643027,pct_diff,50
per_train_seed,100,energy_tracking_error,10.998718668776219,7.747824713442631,14.224212398865673,pct_diff,50
per_train_seed,100,battery_degradation,9.654249648375764,6.2702165434872805,13.324659820130744,pct_diff,50
per_train_seed,101,total_ev_served,0.0,0.0,0.0,pct_diff,50
per_train_seed,101,total_profits,4.473010959622308,-1.454399827107362,10.613049770617804,pct_diff,50
per_train_seed,101,average_user_satisfaction,0.14069459471383566,-0.35909928343234554,0.6780871202951232,pct_diff,50
per_train_seed,101,energy_user_satisfaction,0.0149990714623616,-0.572846615331854,0.6393290748947157,pct_diff,50
per_train_seed,101,min_energy_user_satisfaction,0.7009942563488192,-4.2715153849515834,5.888811045287653,pct_diff,50
per_train_seed,101,total_transformer_overload,1.512532764076069,-0.4762042831043543,3.760872692130057,abs_diff,50
per_train_seed,101,tracking_error,4.465575262515358,0.28678431673344035,8.818738053270108,pct_diff,50
per_train_seed,101,energy_tracking_error,2.5744982912707535,0.468764603077322,4.658889049322176,pct_diff,50
per_train_seed,101,battery_degradation,0.8585846584183462,-1.3613062365759259,3.22455896519729,pct_diff,50
per_train_seed,102,total_ev_served,0.0,0.0,0.0,pct_diff,50
per_train_seed,102,total_profits,-1.9807420891097347,-7.2893496766434085,2.74660102158675,pct_diff,50
per_train_seed,102,average_user_satisfaction,-0.5852142613587664,-1.1810541066995723,-0.04806971211915827,pct_diff,50
per_train_seed,102,energy_user_satisfaction,-0.39859790848567545,-1.1135152566221036,0.2638755252035824,pct_diff,50
per_train_seed,102,min_energy_user_satisfaction,-0.9448635678477497,-8.176811713972983,5.862317585184015,pct_diff,50
per_train_seed,102,total_transformer_overload,1.2230291433034832,-0.488015221168086,3.0529331527161543,abs_diff,50
per_train_seed,102,tracking_error,6.5230630461503525,0.692411422429711,12.485260133977098,pct_diff,50
per_train_seed,102,energy_tracking_error,2.3320661960650733,-0.45634255399759927,5.25412289156351,pct_diff,50
per_train_seed,102,battery_degradation,-2.5748351670308187,-5.266745169341287,0.009326034431595633,pct_diff,50
