algorithm,mean_margin,mean_overload,mean_satisfaction,margin_foregone_vs_afap_cop,overload_avoided_vs_afap_kwh,cop_per_kwh_overload_avoided
MPC_EnergyMaxG2V,118087.10577172614,6.1914790254020005e-06,1.0,-23.194565889876685,13.248386478115755,-1.750746472273469
ChargeAsFastAsPossible,118063.91120583627,13.24839266959478,1.0,0.0,0.0,
RandomPolicy,117804.19531039418,3.031913933500479,1.0,259.71589544208837,10.216478736094302,25.421273038480983
Optimal_Oracle_Balanced,117735.18095200534,0.0,1.0,328.73025383093045,13.24839266959478,24.812840472744313
RoundRobin,117559.97746121028,0.0,0.9990069176319176,503.93374462598877,13.24839266959478,38.03734967657795
MPC_TrackingG2V,117512.14490215167,0.0,1.0,551.7663036845915,13.24839266959478,41.647792109219544
Optimal_Oracle_Tracking,117280.73347145072,0.0,1.0,783.1777343855501,13.24839266959478,59.114924649157814
TD3_TrackingOnly_ts100,112313.6295210458,10.277022570557099,0.9908713319418677,5750.281684790461,2.9713700990376815,1935.229033452537
TD3_TrackingOnly_ts102,110459.36354654342,4.303407689872962,0.9873274767008601,7604.547659292846,8.944984979721818,850.1464984605644
TD3_vanilla_ts102,108150.92382077522,4.413176446667032,0.9840438689037359,9912.987385061046,8.835216222927748,1121.9858275043046
TD3_TrackingOnly_ts101,107321.16149389188,9.27543105102653,0.9825949489333428,10742.749711944387,3.9729616185682506,2703.9651381821773
TD3_vanilla_ts101,106367.27280276391,4.203328901066482,0.9801857063442798,11696.638403072357,9.045063768528298,1293.1515688999384
TD3_vanilla_ts100,105709.15141369952,4.530573824205209,0.9793404414038342,12354.759792136741,8.717818845389571,1417.1847352242896
