config_name,algorithm,seed,eval_day,algorithm_family,total_energy_charged_kwh,retail_revenue_cop,energy_purchase_cost_cop,gross_margin_cop,retail_tariff_cop_per_kwh,retail_tariff_month,energy_purchase_cost_cop_per_kwh,cu_tariff_month,cu_with_contribution
station_v0_bogota,ChargeAsFastAsPossible,2,2022-08-24,heuristic,155.12533631476165,224931.7376564044,134301.54385587253,90630.19380053188,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,2,2022-09-17,heuristic,230.9083203294727,334817.06447773543,199911.53377092478,134905.53070681065,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,2,2022-11-09,heuristic,155.12533631476165,224931.7376564044,134301.54385587253,90630.19380053188,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,3,2022-01-17,heuristic,202.5730876400914,293730.9770781325,175379.98021491698,118350.99686321552,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,3,2022-02-14,heuristic,202.5730876400914,293730.9770781325,175379.98021491698,118350.99686321552,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,3,2022-03-05,heuristic,195.6171991007634,283644.93869610695,169357.83971927557,114287.09897683139,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,3,2022-04-06,heuristic,202.5730876400914,293730.9770781325,175379.98021491698,118350.99686321552,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,3,2022-05-21,heuristic,195.6171991007634,283644.93869610695,169357.83971927557,114287.09897683139,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,3,2022-06-15,heuristic,202.5730876400914,293730.9770781325,175379.98021491698,118350.99686321552,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,3,2022-07-10,heuristic,195.6171991007634,283644.93869610695,169357.83971927557,114287.09897683139,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,3,2022-08-24,heuristic,202.5730876400914,293730.9770781325,175379.98021491698,118350.99686321552,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,3,2022-09-17,heuristic,195.6171991007634,283644.93869610695,169357.83971927557,114287.09897683139,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,3,2022-11-09,heuristic,202.5730876400914,293730.9770781325,175379.98021491698,118350.99686321552,1450.0,2025-08,865.7615,2026-08,True
