horizon,tracking_error_mean,tracking_error_std,energy_charged_mean,overload_mean,runtime_mean_s
5,10642.657773324281,5163.157678989988,199.05308169627685,0.0,1.55537363499825
10,8427.3549929653,4138.836126929858,198.87821735408764,0.0,2.8424376349998055
20,6672.647961134318,3428.472834991667,198.7864478350994,0.0,5.662384380000003
